date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:01	5650/5650	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Aug%202023%2020:10:56%20GMT	https://www.codewithharry.com/robots.txt		(from )
21:11:02	31342/31342	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2020:10:57%20GMT	https://www.codewithharry.com/	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/index.html	(from )
21:11:02	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-49773873e8%22	https://www.codewithharry.com/img/favicon.ico	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/img/favicon.ico	(from https://www.codewithharry.com/)
21:11:03	177322/177322	---M--	200	added ('OK')	text/javascript	etag:1920796586902564895	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9655830461045889	D:%20MY%20WEBSITES/Blog%20Website/pagead2.googlesyndication.com/pagead/js/fa428.txt	(from https://www.codewithharry.com/)
21:11:03	40155/40155	---MCZ	200	added ('OK')	text/css	etag:W/%229cdb-49773873e8%22	https://www.codewithharry.com/_next/static/css/6821fa7ef8c5613f.css	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/css/6821fa7ef8c5613f.css	(from https://www.codewithharry.com/)
21:11:03	16837/16837	---MCZ	200	added ('OK')	text/css	etag:W/%2241c5-49773873e8%22	https://www.codewithharry.com/_next/static/css/470c5e8db7cdc7e9.css	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/css/470c5e8db7cdc7e9.css	(from https://www.codewithharry.com/)
21:11:03	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-49773873e8%22	https://www.codewithharry.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.codewithharry.com/)
21:11:04	3248/3248	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb0-49773873e8%22	https://www.codewithharry.com/_next/static/chunks/webpack-aa5f8a4aef2cce9e.js	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/chunks/webpack-aa5f8a4aef2cce9e.js	(from https://www.codewithharry.com/)
21:11:04	140748/140748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22225cc-49773873e8%22	https://www.codewithharry.com/_next/static/chunks/framework-a87821de553db91d.js	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/chunks/framework-a87821de553db91d.js	(from https://www.codewithharry.com/)
21:11:04	87474/87474	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155b2-49773873e8%22	https://www.codewithharry.com/_next/static/chunks/main-49d106e7eacac86b.js	D:%20MY%20WEBSITES/Blog%20Website/www.codewithharry.com/_next/static/chunks/main-49d106e7eacac86b.js	(from https://www.codewithharry.com/)
